a bit	một chút, một tí
a few	một ít, một vài
a little	nhỏ, một ít
abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abuse	lộng hành, lạm dụng
academic	thuộc học viện, đh, viện hàn lâm
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
access	lối, cửa, đường vào
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
